Net Name, To Pin, Delay Type, Delay (ps)
puf_loop[0].puf_inst/dl0/in0,puf_loop[0].puf_inst/dl1/Q_reg_i_1/I0,NetDelay,1009
puf_loop[0].puf_inst/dl0/OUT,your_instance_name/inst/ila_core_inst/shifted_data_in_reg[7][0]_srl8/D,NetDelay,3100
puf_loop[0].puf_inst/dl0/OUT,your_instance_name/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[0].U_M_i_1/I1,NetDelay,4187
puf_loop[0].puf_inst/dl0/OUT,puf_loop[0].puf_inst/dl0/Q_reg/D,NetDelay,109
puf_loop[0].puf_inst/dl0/out,puf_loop[0].puf_inst/dl0/OUT_INST_0/I0,NetDelay,1159
puf_loop[0].puf_inst/dl0/reset,your_instance_name/inst/ila_core_inst/shifted_data_in_reg[7][17]_srl8/D,NetDelay,1597
puf_loop[0].puf_inst/dl0/reset,your_instance_name/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[17].U_M_i_1/I0,NetDelay,3166
puf_loop[0].puf_inst/dl0/reset,puf_loop[10].puf_inst/dl0/Q_reg/CLR,NetDelay,7504
puf_loop[0].puf_inst/dl0/reset,puf_loop[10].puf_inst/dl1/Q_reg/CLR,NetDelay,7194
puf_loop[0].puf_inst/dl0/reset,puf_loop[11].puf_inst/dl0/Q_reg/CLR,NetDelay,7203
puf_loop[0].puf_inst/dl0/reset,puf_loop[11].puf_inst/dl1/Q_reg/CLR,NetDelay,7051
puf_loop[0].puf_inst/dl0/reset,puf_loop[12].puf_inst/dl0/Q_reg/CLR,NetDelay,6227
puf_loop[0].puf_inst/dl0/reset,puf_loop[12].puf_inst/dl1/Q_reg/CLR,NetDelay,5517
puf_loop[0].puf_inst/dl0/reset,puf_loop[13].puf_inst/dl0/Q_reg/CLR,NetDelay,5925
puf_loop[0].puf_inst/dl0/reset,puf_loop[13].puf_inst/dl1/Q_reg/CLR,NetDelay,5385
puf_loop[0].puf_inst/dl0/reset,puf_loop[14].puf_inst/dl0/Q_reg/CLR,NetDelay,6082
puf_loop[0].puf_inst/dl0/reset,puf_loop[14].puf_inst/dl1/Q_reg/CLR,NetDelay,5224
puf_loop[0].puf_inst/dl0/reset,puf_loop[15].puf_inst/dl0/Q_reg/CLR,NetDelay,6362
puf_loop[0].puf_inst/dl0/reset,puf_loop[15].puf_inst/dl1/Q_reg/CLR,NetDelay,5072
puf_loop[0].puf_inst/dl0/reset,puf_loop[16].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[17].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[18].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[19].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[1].puf_inst/dl0/Q_reg/CLR,NetDelay,9582
puf_loop[0].puf_inst/dl0/reset,puf_loop[1].puf_inst/dl1/Q_reg/CLR,NetDelay,8888
puf_loop[0].puf_inst/dl0/reset,puf_loop[20].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[21].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[22].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[23].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[24].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[25].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[26].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[27].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[28].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[29].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[2].puf_inst/dl0/Q_reg/CLR,NetDelay,9282
puf_loop[0].puf_inst/dl0/reset,puf_loop[2].puf_inst/dl1/Q_reg/CLR,NetDelay,8739
puf_loop[0].puf_inst/dl0/reset,puf_loop[30].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[31].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[3].puf_inst/dl0/Q_reg/CLR,NetDelay,9429
